Date,CustomerNumber,SKU,SalePrice
20240101,1987495911315,42988001,1.82
20240101,1987495911315,44099001,4.58
20240101,1987495911315,43812001,2.48
20240101,1987495911315,42893001,5
20240101,1987495911315,43654001,2.9
20240101,1987495911315,42754001,7.98
20240101,1987495911315,42236001,2
20240101,1987495911315,42116001,4.86
20240101,1987495911315,43066001,7.64
20240101,1987495911315,43977001,2.58
20240101,1695308158011,42356001,3.78
20240101,1695308158011,42652001,6.58
20240101,1695308158011,44131001,10.98
20240101,1695308158011,43401001,9.38
20240101,1695308158011,42528001,7.98
20240101,1695308158011,43526001,12.58
20240101,1695308158011,43876001,2
20240101,1695308158011,43513001,3
20240101,1695308158011,43583001,5.76
20240101,1695308158011,44148001,7.38
20240101,1695308158011,42205001,3.54
20240101,1695308158011,42657001,11.98
20240101,1695308158011,43802001,7.04
20240101,1695308158011,43051001,2
20240101,1695308158011,43824001,3.34
20240101,1695308158011,43002001,1.76
20240101,1695308158011,42227001,5.1
20240101,1695308158011,42952001,4.8
20240101,1695308158011,42793001,4.38
20240101,1695308158011,43122001,4.76
20240101,1695308158011,43460001,3.18
20240101,1695308158011,42966001,8.98
20240101,1695308158011,42964001,4.58
20240101,1695308158011,42838001,3.56
20240101,1695308158011,42876001,6.38
20240101,1695308158011,42884001,5
20240101,7615153495105,42357001,7.38
20240101,7615153495105,42439001,6.56
20240101,7615153495105,43395001,7.58
20240101,7615153495105,42392001,5.98
20240101,7615153495105,42563001,7.58
20240101,7615153495105,42827001,1.46
20240101,7615153495105,42312001,6.18
20240101,7615153495105,43342001,2.58
20240101,7615153495105,43376001,1.78
20240101,7615153495105,43281001,4.98
20240101,7615153495105,43338001,2.58
20240101,7615153495105,43017001,21.98
20240101,7615153495105,43192001,3.78
20240101,7615153495105,43197001,5.48
20240101,7615153495105,43587001,6.5
20240101,7615153495105,44088001,5.18
20240101,7615153495105,42160001,3.74
20240101,7615153495105,42597001,2
20240101,7615153495105,43680001,4.34
20240101,7615153495105,42089001,7.18
20240101,3178354835688,42359001,7.38
20240101,3178354835688,44131001,10.98
20240101,3178354835688,42924001,5
20240101,3178354835688,44122001,6.98
20240101,3178354835688,42312001,6.18
